GGE;312;1
TIC;312;1
KOL;312;1
SOL;312;2
SSI;312;1
GUR;312;1
AIO;312;1
NSA;313;1
ANI;313;1
IL9;313;1
JEK;313;1
ATR;313;1
KHT;314;5
ORM;314;2
NAG;314;2
UNG;315;1
NEN;316;9
DRE;316;5
NDE;316;1
TRU;316;2
OFE;316;2
ESE;316;1
ISN;316;2
ERÄ;317;4
RRY;319;1
TRO;319;2
DES;319;1
IEF;319;0
CEN;319;1
HEC;319;1
SLA;319;2
RKD;319;1
CHU;320;0
ALB;320;1
ONT;320;4
ASS;320;0
UFS;320;1
412;320;1
WIS;320;2
ERR;320;0
ULG;320;1
GZU;320;1
EZI;320;2
UNK;320;2
PLE;320;1
LIE;321;0
WAS;321;1
JUS;321;1
SCI;321;1
MUS;322;1
PEZ;324;2
HEI;324;2
GES;324;5
DEU;325;3
ORG;325;1
OFF;326;9
ASK;327;1
EDI;327;3
LLN;327;1
EGZ;327;1
RTE;328;2
CKE;328;1
OUN;328;1
ITT;328;1
ZUR;328;1
OKU;328;1
RAL;328;1
ELT;328;1
TAL;328;1
TEU;328;1
NUS;328;1
SNO;328;2
8M0;328;1
LGU;328;1
HAL;328;1
TIV;329;1
OTS;329;1
UFG;329;1
ARK;329;1
TMA;329;1
EET;329;1
ODE;329;0
IFF;329;1
VER;330;1
STA;330;0
LAU;330;8
AND;330;1
ÄBE;331;1
LSO;332;3
ESC;332;3
ISC;332;0
THO;333;0
ECH;335;1
MAI;335;1
RTT;336;1
XIT;336;0
ANZ;336;1
IAN;336;2
OBI;336;5
SST;336;2
GAB;336;1
KUM;336;1
UNT;336;1
UBE;337;4
RDE;338;1
ATA;338;1
INZ;338;3
INW;338;4
LUK;339;2
ESA;340;3
FER;341;1
LEV;343;1
FFS;343;1
NBA;344;2
C00;344;1
TOC;344;2
NGS;344;1
HLE;344;0
UNV;344;1
EID;344;2
BRA;344;2
MME;344;1
SPR;344;1
IED;344;1
AHR;345;1
DRA;345;1
XPL;345;1
RGE;345;1
LEI;346;0
RED;347;2
020;347;0
ZEU;348;2
MÄR;349;3
NDO;349;1
TUN;349;1
RÄB;350;4
TRA;351;1
RTA;351;1
KIC;351;1
PAD;351;1
RSC;351;1
EGE;351;0
